"ID","Population","Clade","Bib","Room","Treatment","OCT_RTL","JAN_RTL","MAY_RTL","OCT_RTL_NEW","JAN_RTL_NEW","MAY_RTL_NEW","MSR_JAN","MTG_JAN","MTO_JAN","MSR_MAY","MTG_MAY","MTO_MAY","Mass_JAN","SVL_JAN","Mass_MAY","SVL_MAY","CHANGE_SVL","CHANGE_MASS","CHANGE_BCI","JAN","MAY","JAN_NEW","MAY_NEW"
357,"KNGA","South","Y","Room 2","Warm",0.975111,0.872345,0.985616,2.673324031,3.15964225,0.83801086,552,706,6363,NA,NA,NA,10.007,66,11.328,66,0,1.321,-2.6133883,1.167099892,1.385504586,0.800478755,0.292612242
359,"KNGA","South","Y","Room 2","Warm",0.976284,1.166173,0.974538,1.472225905,0.459146583,0.365494202,457,404,5591,933,1083,3094,13.284,65,15.238,67,2,1.954,-0.8681236,1.593565802,1.44739762,0.157070144,1.201735988
361,"KNGA","South","Y","Room 3","Warm",1.08523,0.810149,0.951675,0.153980817,0.31795867,0.520761235,1841,3907,9122,578,1166,3356,11.122,65,12.366,67,2,1.244,-0.2053578,0.832791051,1.616279048,4.591551355,1.037906019
363,"KNGA","South","N","Room 3","Cool",1.003419,0.934468,0.732251,0.737991348,1.063771665,0.288958185,894,1435,4108,NA,NA,NA,10.914,62,10.398,65,3,-0.516,3.7207494,1.730789745,1.414134477,2.601319086,0.370545276
364,"KNGA","South","Y","Room 3","Warm",1.022093,1.028562,0.901301,0.519766775,0.318621644,0.143313922,585,1558,5449,NA,NA,NA,10.604,64,12.986,68,4,2.382,-0.2598876,1.776461422,1.133402689,1.255847953,0.501042199
365,"KNGA","South","N","Room 2","Cool",1.174098,0.970825,1.216178,0.626421717,0.902055386,0.363465253,599,1337,11082,NA,NA,NA,9.713,65,12.385,66,1,2.672,-3.9725157,NA,NA,NA,NA
366,"KNGA","South","N","Room 1","Warm",1.049009,1.06206,0.931532,0.821145134,0.85053334,0.695202754,563,342,4513,879,1308,4626,10.607,66,11.992,68,2,1.385,-0.5722163,0.973385216,1.145136768,5.927455369,1.507798675
367,"KNGA","South","Y","Room 2","Warm",0.812162,0.788555,NA,2.630638285,1.888252956,NA,450,315,3332,654,1930,9279,12.444,69,15.131,70,1,2.687,-3.3176036,NA,NA,NA,NA
369,"KNGA","South","N","Room 1","Warm",1.445902,1.130656,1.891389,0.860070228,0.561386025,0.179009792,880,1560,3746,1474,2309,3242,13.384,69,15.101,68,-1,1.717,-3.4422096,0.832337473,1.02911269,3.673136299,2.381130964
371,"KNGA","South","N","Room 3","Cool",1.391207,1.2056,1.355901,0.763908011,1.330987784,0.749748432,603,1219,6361,1009,2070,4964,11.565,65,12.035,64,-1,0.47,-1.7853985,1.318040129,0.916862104,0.513869794,1.474044472
